"recipient","publisher","iati.value","iati.year"
"Montenegro","ec-devco",44375538.248008,2019
"Montenegro","worldbank",11874893,2019
"Montenegro","undp",9499165,2018
"Montenegro","ebrd",8967316.320446,2019
"Montenegro","unitedstates",4394693.66,2017
"Montenegro","norad",1910668.209,2019
"Montenegro","ifad",1772250,2018
"Montenegro","fo_germany",1630385.80448621,2019
"Montenegro","who",951381.64,2017
"Montenegro","fco",440878.7863,2018
"Montenegro","slovakaid",298405.5475,2018
"Montenegro","ilo",276343,2017
"Montenegro","unops",260526,2019
"Myanmar","worldbank",232738441,2019
"Myanmar","dfid",140680808.8631,2017
"Myanmar","ec-devco",116329392.879183,2019
"Myanmar","unitedstates",112376699.62,2018
"Myanmar","ausgov",84957743.646,2019
"Myanmar","unops",63062760,2019
"Myanmar","icrc",54241479.172784,2018
"Myanmar","unpf",48072058.6053,2017
"Myanmar","wfp",46601684,2019
"Myanmar","sida",44835059.628981,2018
"Myanmar","gavi",38486877,2018
"Myanmar","bmz",37557772.770892,2019
"Myanmar","asdb",37525850.81,2018
"Myanmar","who",37509582.55,2017
"Myanmar","odakorea",36730514.1933,2019
"Nepal","worldbank",495087056,2018
"Nepal","asdb",291577031.61,2019
"Nepal","bmz",224510229.374024,2019
"Nepal","unitedstates",172170566.99,2017
"Nepal","ifrcrcs",136660278.602728,2018
"Nepal","dfid",126078099.6244,2017
"Nepal","ec-devco",87982211.183698,2017
"Nepal","norad",32874722.049,2018
"Nepal","sdc_ch",30646069.743,2017
"Nepal","undp",26379362,2017
"Nepal","ausgov",24744633.597,2019
"Nepal","wfp",24096002,2017
"Nepal","finland_mfa",20253873.5356,2017
"Nepal","wvi",20208286,2017
"Nepal","danida",19104353.785934,2017
"Nigeria","worldbank",1579164006,2019
"Nigeria","unitedstates",808382676.31,2018
"Nigeria","dfid",380661317.5717,2017
"Nigeria","afdb",350399979.197382,2017
"Nigeria","wfp",278500863,2017
"Nigeria","who",276969841.63,2017
"Nigeria","ec-devco",265984778.414773,2017
"Nigeria","afd",153713406.1492,2018
"Nigeria","gavi",114200921,2017
"Nigeria","icrc",96898437.15645,2017
"Nigeria","bmz",75461089,2019
"Nigeria","fo_germany",68587666.4037325,2017
"Nigeria","unpf",61928809.9928,2017
"Nigeria","palladium",52591617.2111,2017
"Nigeria","gac-amc",51893471.4238444,2017
"Papua New Guinea","ausgov",529078034.3094,2019
"Papua New Guinea","asdb",275203235.35,2019
"Papua New Guinea","worldbank",192367527,2018
"Papua New Guinea","ec-devco",47497499.653351,2019
"Papua New Guinea","who",42819777.58,2019
"Papua New Guinea","undp",16831829,2019
"Papua New Guinea","unpf",13696763.3663,2017
"Papua New Guinea","unitedstates",9202673.25,2018
"Papua New Guinea","cerf",9186710,2018
"Papua New Guinea","gavi",8304278,2019
"Papua New Guinea","ifad",5259320.31937,2019
"Papua New Guinea","ofid",3366144.18,2017
"Papua New Guinea","unw",3280303,2019
"Papua New Guinea","unfpa",3245730.91,2019
"Papua New Guinea","fao",3127116.04,2017
"Rwanda","worldbank",279224931,2017
"Rwanda","unitedstates",157264071.66,2018
"Rwanda","ec-devco",149545101.862535,2017
"Rwanda","afdb",85662948.473872,2019
"Rwanda","bmz",84064313.910654,2019
"Rwanda","dfid",70747009.2978,2017
"Rwanda","minbuza_nl",48038340.7001,2017
"Rwanda","unhcr",42135026.54,2017
"Rwanda","the_power_of_nutrition",3.5e+07,2018
"Rwanda","be-dgd",32684123.955685,2018
"Rwanda","wfp",31187119,2017
"Rwanda","sida",31152492.154533,2018
"Rwanda","afd",30215855.4456,2019
"Rwanda","wvi",25294446,2017
"Rwanda","gavi",15998748,2017
"Sao Tome and Principe","worldbank",15956055,2019
"Sao Tome and Principe","ec-devco",7726640.718722,2017
"Sao Tome and Principe","undp",4561290,2018
"Sao Tome and Principe","afdb",3897027.815681,2018
"Sao Tome and Principe","who",1816610.02,2017
"Sao Tome and Principe","gavi",1577755,2017
"Sao Tome and Principe","fao",985030.75,2017
"Sao Tome and Principe","ifad",736976.953377,2017
"Sao Tome and Principe","ofid",672507.61,2017
"Sao Tome and Principe","imf",586489,2018
"Sao Tome and Principe","unfpa",533113.83,2019
"Sao Tome and Principe","wfp",280116,2019
"Sao Tome and Principe","afd",233570.735,2018
"Sao Tome and Principe","unops",123600,2018
"Sao Tome and Principe","unops",123600,2019
"Sierra Leone","dfid",123967773.1919,2017
"Sierra Leone","worldbank",91349372,2019
"Sierra Leone","ifrcrcs",78298260.92976,2017
"Sierra Leone","ec-devco",67612659.583293,2019
"Sierra Leone","unitedstates",52683883.05,2017
"Sierra Leone","who",49423434.16,2017
"Sierra Leone","bmz",24259682.108376,2019
"Sierra Leone","undp",21130946,2018
"Sierra Leone","wvi",20192699,2017
"Sierra Leone","afdb",18663608.536496,2019
"Sierra Leone","odakorea",15737002.038,2019
"Sierra Leone","ofid",15190095.17,2018
"Sierra Leone","ifad",15018976.904149,2018
"Sierra Leone","irishaid",14391511.877825,2018
"Sierra Leone","irc_inc",13523174.3244,2019
"Somalia","ec-devco",435412452.125484,2018
"Somalia","unitedstates",401638952.35,2019
"Somalia","dfid",337141533.6168,2017
"Somalia","wfp",333799006,2017
"Somalia","unpf",320010576.6334,2017
"Somalia","fao",134041469.15,2017
"Somalia","bmz",109852396.955268,2019
"Somalia","sida",107067815.041843,2018
"Somalia","fo_germany",95994595.6525847,2019
"Somalia","icrc",94334495.89167,2017
"Somalia","unhcr",77088273.5,2017
"Somalia","wvi",76903737,2018
"Somalia","ifrcrcs",69870086.057876,2018
"Somalia","norad",66803596.902,2018
"Somalia","danida",60568972.639487,2019
"Syrian Arab Republic","fo_germany",620978157.971529,2018
"Syrian Arab Republic","unitedstates",591700340.649999,2018
"Syrian Arab Republic","wfp",417867520,2019
"Syrian Arab Republic","ifrcrcs",387762968.917404,2018
"Syrian Arab Republic","pin",304756695.914646,2019
"Syrian Arab Republic","dfid",267618464.4567,2019
"Syrian Arab Republic","ec-devco",259280607.593559,2018
"Syrian Arab Republic","unhcr",227422401.78,2018
"Syrian Arab Republic","icrc",187426309.881796,2018
"Syrian Arab Republic","norad",123314803.494,2018
"Syrian Arab Republic","gac-amc",102815710.490077,2018
"Syrian Arab Republic","homeoffice",99577010,2019
"Syrian Arab Republic","sida",72911200.117347,2018
"Syrian Arab Republic","who",66039255.92,2017
"Syrian Arab Republic","danida",60232952.794608,2018
"Tanzania","unitedstates",703750445.28,2018
"Tanzania","worldbank",557770565,2019
"Tanzania","rc",406768417.04411,2019
"Tanzania","dfid",205578367.9983,2017
"Tanzania","sida",135674207.064416,2017
"Tanzania","ec-devco",135648155.184975,2018
"Tanzania","afdb",105442829.435793,2017
"Tanzania","gac-amc",86881646.496366,2017
"Tanzania","bmz",67730434.486814,2019
"Tanzania","unhcr",66466731.25,2017
"Tanzania","afd",55790453.42024,2019
"Tanzania","danida",54320317.3497599,2018
"Tanzania","norad",48869651.889,2018
"Tanzania","gavi",48203062,2018
"Tanzania","wfp",47831421,2018
"Viet Nam","worldbank",1049629837,2017
"Viet Nam","asdb",488039673.8,2017
"Viet Nam","bmz",301365364.833918,2019
"Viet Nam","afd",249911153.613022,2019
"Viet Nam","unitedstates",108243779.21,2018
"Viet Nam","ausgov",70272646.8048,2017
"Viet Nam","ec-devco",66343988.71754,2018
"Viet Nam","odakorea",37921908.2706,2019
"Viet Nam","undp",21223244,2019
"Viet Nam","be-dgd",18889270.2395,2018
"Viet Nam","unpf",18888648.3935,2017
"Viet Nam","who",17018784.38,2017
"Viet Nam","wvi",14914604,2018
"Viet Nam","finland_mfa",12514283.7436,2017
"Viet Nam","ifad",11747833.939436,2017
"Yemen","wfp",1458018460,2019
"Yemen","ksrelief291",1014825272,2018
"Yemen","unitedstates",587150176.79,2019
"Yemen","worldbank",573025262,2019
"Yemen","unpf",471703970.41,2017
"Yemen","dfid",297272853.3978,2019
"Yemen","who",271188039.57,2019
"Yemen","ec-devco",208147445.298265,2019
"Yemen","undp",196498893,2018
"Yemen","unocha-cbpf",184213411.09,2018
"Yemen","mofaic_uae",1.7e+08,2019
"Yemen","fo_germany",151375415.892258,2018
"Yemen","unhcr",135333895.55,2018
"Yemen","icrc",107069796.33898,2018
"Yemen","bmz",79697376.725681,2019
