"recipient","donor","crs.year","crs.value","publisher","iati.value","iati.year","value","publishing.to.iati","donor.or.publisher"
"Ghana","Global Fund",2018,66104855,"theglobalfund",94246213.8299999,2017,94246213.8299999,1,"Global Fund"
"Ghana","EU Institutions",2018,78809815,"ec-devco",72796346.9418,2018,78809815,1,"EU Institutions"
"Ghana","Germany",2018,73718267,"bmz",78620113.031042,2019,78620113.031042,1,"Germany"
"Ghana","African Development Bank, Total",2018,49702242,"afdb",70487696.919342,2017,70487696.919342,1,"African Development Bank, Total"
"Ghana","Japan",2018,70130621,,,,70130621,0,"Japan"
"Ghana","Canada",2018,69714546,"gac-amc",66480255.4053927,2018,69714546,1,"Canada"
"Ghana","United Kingdom",2018,50263374,"dfid",64796809.1056,2017,64796809.1056,1,"United Kingdom"
"Ghana","France",2018,54707015,"afd",24142520.496072,2019,54707015,1,"France"
"Ghana","UNICEF",2018,8007653,"unicef",43746076,2017,43746076,1,"UNICEF"
"Ghana","Denmark",2018,42128049,"danida",40796898.7916161,2018,42128049,1,"Denmark"
"Ghana","Global Alliance for Vaccines and Immunization [GAVI]",2018,34971380,"gavi",34758022,2018,34971380,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Guinea","World Bank Group, Total",2018,79946137,"worldbank",133300789,2019,133300789,1,"World Bank Group, Total"
"Guinea","EU Institutions",2018,105614306,"ec-devco",87412020.7857101,2018,105614306,1,"EU Institutions"
"Guinea","United States",2018,82520500,"unitedstates",61872347.75,2017,82520500,1,"United States"
"Guinea","France",2018,64949201,"afd",38731954.840502,2019,64949201,1,"France"
"Guinea","World Health Organisation [WHO]",2018,1890381,"who",52137386.29,2017,52137386.29,1,"World Health Organisation [WHO]"
"Guinea","International Monetary Fund, Total",2018,48740331,,,,48740331,0,"International Monetary Fund, Total"
"Guinea","Global Fund",2018,28691111,"theglobalfund",48189016.14,2019,48189016.14,1,"Global Fund"
"Guinea","Germany",2018,18557762,"bmz",37166931.651805,2018,37166931.651805,1,"Germany"
"Guinea","UNICEF",2018,9590569,"unicef",34777896,2017,34777896,1,"UNICEF"
"Guinea","African Development Bank, Total",2018,23364694,"afdb",8159586.453741,2017,23364694,1,"African Development Bank, Total"
"Guinea","Islamic Development Bank [IsDB]",2018,23064246,,,,23064246,0,"Islamic Development Bank [IsDB]"
"Guinea","UNDP",2018,7177265,"undp",19122699,2019,19122699,1,"UNDP"
"Guinea","Japan",2018,17978444,,,,17978444,0,"Japan"
"Guinea","Spain",2018,16049205,,,,16049205,0,"Spain"
"Guinea","Saudi Arabia",2018,15446873,,,,15446873,0,"Saudi Arabia"
"Honduras","Inter-American Development Bank [IDB]",2018,316549493,,,,316549493,0,"Inter-American Development Bank [IDB]"
"Honduras","Inter-American Development Bank, Total",2018,316549493,"iadb",311609233,2018,316549493,1,"Inter-American Development Bank, Total"
"Honduras","United States",2018,161777270,"unitedstates",166564710.33,2018,166564710.33,1,"United States"
"Honduras","EU Institutions",2018,93718280,"ec-devco",61229059.7592,2018,93718280,1,"EU Institutions"
"Honduras",,,,"eib",73447706.76,2019,73447706.76,1,"eib"
"Honduras","Germany",2018,17777407,"bmz",50285923.955025,2019,50285923.955025,1,"Germany"
"Honduras","France",2018,37934914,,,,37934914,0,"France"
"Honduras",,,,"unops",28865609,2019,28865609,1,"unops"
"Honduras","World Bank Group, Total",2018,8604724,"worldbank",23883459,2017,23883459,1,"World Bank Group, Total"
"Honduras","Canada",2018,23117996,"gac-amc",19867926.6690473,2018,23117996,1,"Canada"
"Honduras","Spain",2018,22936038,,,,22936038,0,"Spain"
"Honduras","WFP",2018,1108016,"wfp",21300820,2018,21300820,1,"WFP"
"Honduras",,,,"wvi",18908874,2018,18908874,1,"wvi"
"Honduras","Switzerland",2018,18334594,"sdc_ch",14673478.6262,2018,18334594,1,"Switzerland"
"Honduras","UNDP",2018,375225,"undp",16718538,2017,16718538,1,"UNDP"
"Indonesia","Asian Development Bank, Total",2018,3583251,"asdb",1830503175.62,2018,1830503175.62,1,"Asian Development Bank, Total"
"Indonesia","World Bank Group, Total",,,"worldbank",1648504477,2019,1648504477,1,"World Bank Group, Total"
"Indonesia","Germany",2018,1203904169,"bmz",71830041.67251,2019,1203904169,1,"Germany"
"Indonesia","Japan",2018,637768331,,,,637768331,0,"Japan"
"Indonesia","France",2018,455487705,,,,455487705,0,"France"
"Indonesia","Australia",2018,262718760,"ausgov",293352420.8331,2019,293352420.8331,1,"Australia"
"Indonesia","United States",2018,252377190,"unitedstates",177775588.72,2017,252377190,1,"United States"
"Indonesia","Global Fund",2018,49063933,"theglobalfund",101135960.22,2017,101135960.22,1,"Global Fund"
"Indonesia","IFRCRCS",,,"icrc",84157329.482156,2018,84157329.482156,1,"IFRCRCS"
"Indonesia","Korea",2018,51045438,"odakorea",9447698.349,2019,51045438,1,"Korea"
"Indonesia","Norway",2018,47728703,"norad",33269134.4498,2019,47728703,1,"Norway"
"Indonesia","United Kingdom",2018,40029834,"dfid",22732922.2464,2018,40029834,1,"United Kingdom"
"Indonesia","UNICEF",2018,6180013,"unicef",37930811,2019,37930811,1,"UNICEF"
"Indonesia","Global Alliance for Vaccines and Immunization [GAVI]",2018,14825020,"gavi",35290409,2017,35290409,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Indonesia","Switzerland",2018,28116392,"sdc_ch",1629365.8456,2018,28116392,1,"Switzerland"
"Lebanon","UNICEF",2018,4720912,"unicef",350677290,2017,350677290,1,"UNICEF"
"Lebanon","UNHCR",2018,8934277,"unhcr",325817027.67,2017,325817027.67,1,"UNHCR"
"Lebanon","WFP",,,"wfp",319675482,2019,319675482,1,"WFP"
"Lebanon","Germany",2018,243872030,"bmz",294159147.728314,2019,294159147.728314,1,"Germany"
"Lebanon","Kuwait",2018,216615984,,,,216615984,0,"Kuwait"
"Lebanon","EU Institutions",2018,203314470,"ec-devco",188886013.782571,2018,203314470,1,"EU Institutions"
"Lebanon","World Bank Group, Total",,,"worldbank",201825597,2017,201825597,1,"World Bank Group, Total"
"Lebanon","United States",2018,182552610,"unitedstates",132195094.44,2017,182552610,1,"United States"
"Lebanon","United Kingdom",2018,128699612,"dfid",150234731.8869,2019,150234731.8869,1,"United Kingdom"
"Lebanon","UNRWA",2018,97555022,,,,97555022,0,"UNRWA"
"Lebanon","Netherlands",2018,82329222,"minbuza_nl",82418546.5065,2018,82418546.5065,1,"Netherlands"
"Lebanon",,,,"wvi",74171149,2017,74171149,1,"wvi"
"Lebanon","Canada",2018,68602218,"gac-amc",68035072.1712102,2018,68602218,1,"Canada"
"Lebanon","Norway",2018,64848107,"norad",64466179.194,2018,64848107,1,"Norway"
"Lebanon","France",2018,47563192,"afd",64597556.089,2019,64597556.089,1,"France"
"Liberia","United States",2018,231474590,"unitedstates",197999700.15,2017,231474590,1,"United States"
"Liberia","Germany",2018,33280100,"bmz",82211369.3,2018,82211369.3,1,"Germany"
"Liberia","World Bank Group, Total",2018,70482462,"worldbank",58325677,2018,70482462,1,"World Bank Group, Total"
"Liberia","African Development Bank, Total",2018,46159145,"afdb",14474480.823418,2019,46159145,1,"African Development Bank, Total"
"Liberia","EU Institutions",2018,35361499,"ec-devco",41716123.469157,2017,41716123.469157,1,"EU Institutions"
"Liberia","World Health Organisation [WHO]",2018,1977230,"who",41070910.72,2017,41070910.72,1,"World Health Organisation [WHO]"
"Liberia","Sweden",2018,40136314,"sida",39265943.539972,2018,40136314,1,"Sweden"
"Liberia","UNICEF",2018,4715867,"unicef",36756336,2017,36756336,1,"UNICEF"
"Liberia","Global Fund",2018,31699340,"theglobalfund",31699339.6,2018,31699340,1,"Global Fund"
"Liberia","UNDP",2018,6995087,"undp",23199252,2018,23199252,1,"UNDP"
"Liberia","Japan",2018,18871248,,,,18871248,0,"Japan"
"Liberia","Norway",2018,10859903,"norad",17404073.5401,2017,17404073.5401,1,"Norway"
"Liberia","WFP",2018,2387137,"wfp",12633420,2017,12633420,1,"WFP"
"Liberia","France",2018,6022902,"afd",11815000,2018,11815000,1,"France"
"Liberia",,,,"unpf",10521785.4071,2017,10521785.4071,1,"unpf"
"Madagascar","World Bank Group, Total",2018,137861850,"worldbank",208412198,2019,208412198,1,"World Bank Group, Total"
"Madagascar","United States",2018,98340350,"unitedstates",75109161.27,2019,98340350,1,"United States"
"Madagascar","EU Institutions",2018,90129873,"ec-devco",66803309.260425,2017,90129873,1,"EU Institutions"
"Madagascar","France",2018,73877793,"afd",81294864.473328,2019,81294864.473328,1,"France"
"Madagascar","Germany",2018,52000424,"bmz",46762632.939968,2019,52000424,1,"Germany"
"Madagascar","Global Fund",2018,47912830,"theglobalfund",47912831.06,2018,47912831.06,1,"Global Fund"
"Madagascar","UNICEF",2018,12806388,"unicef",45790439,2017,45790439,1,"UNICEF"
"Madagascar","International Monetary Fund, Total",2018,44495762,,,,44495762,0,"International Monetary Fund, Total"
"Madagascar",,,,"unpf",42944200.2761,2017,42944200.2761,1,"unpf"
"Madagascar","Japan",2018,42336462,,,,42336462,0,"Japan"
"Madagascar","WFP",2018,6787249,"wfp",38695682,2017,38695682,1,"WFP"
"Madagascar","African Development Bank, Total",2018,38180075,"afdb",31955841.338049,2017,38180075,1,"African Development Bank, Total"
"Madagascar","IFRCRCS",,,"icrc",30510155.14176,2017,30510155.14176,1,"IFRCRCS"
"Madagascar","UNDP",2018,8707455,"undp",19855872,2019,19855872,1,"UNDP"
"Madagascar","Global Alliance for Vaccines and Immunization [GAVI]",2018,18953400,"gavi",18007477,2018,18953400,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Malawi","United States",2018,449542910,"unitedstates",294655326.2,2018,449542910,1,"United States"
"Malawi","World Bank Group, Total",2018,132436048,"worldbank",297503371,2017,297503371,1,"World Bank Group, Total"
"Malawi","Global Fund",2018,139945825,"theglobalfund",172925148.08,2017,172925148.08,1,"Global Fund"
"Malawi","WFP",,,"wfp",153140569,2017,153140569,1,"WFP"
"Malawi","Germany",2018,56951396,"bmz",132847344.450942,2019,132847344.450942,1,"Germany"
"Malawi","United Kingdom",2018,112252899,"dfid",99758029.0113,2017,112252899,1,"United Kingdom"
"Malawi","EU Institutions",2018,87496872,"ec-devco",103310916.127656,2017,103310916.127656,1,"EU Institutions"
"Malawi",,,,"wvi",73912592,2017,73912592,1,"wvi"
"Malawi","Norway",2018,58855398,"norad",58457759.574,2018,58855398,1,"Norway"
"Malawi","UNICEF",2018,13557526,"unicef",58137764,2017,58137764,1,"UNICEF"
"Malawi",,,,"unpf",50612585.9015,2017,50612585.9015,1,"unpf"
"Malawi","African Development Bank, Total",2018,49758354,"afdb",33036917.481291,2017,49758354,1,"African Development Bank, Total"
"Malawi","UNDP",2018,10517169,"undp",44526533,2017,44526533,1,"UNDP"
"Malawi","Kuwait",2018,40288431,,,,40288431,0,"Kuwait"
